student_no,programme,gpa,quiz_score,assignment_score,attendance,engagement_score,semester,course_name,financial_status
KGL1620,Engineering,2.0,35,54,52.7,53.2,Semester 1,Introduction to Programming,Scholarship
KGL1621,Engineering,2.41,62,56,59.9,60.0,Semester 2,Data Structures,Stable
KGL1622,Engineering,2.15,58,52,53.4,49.3,Semester 1,Introduction to Programming,Stable
KGL1623,Engineering,3.76,100,86,85.9,95.2,Semester 2,Web Development,Under Review
KGL1624,Engineering,2.41,61,62,58.0,54.1,Semester 1,Database Systems,Under Review
KGL1625,Engineering,3.95,100,99,98.6,98.5,Semester 2,Machine Learning,Scholarship
KGL1626,Engineering,2.69,69,63,57.0,70.5,Semester 1,Mathematics & Statistics,Stable
KGL1627,Engineering,2.07,61,46,48.6,46.8,Semester 2,Web Development,Scholarship
KGL1628,Engineering,2.03,49,46,44.0,64.0,Semester 1,Database Systems,Under Review
KGL1629,Engineering,2.0,44,55,53.5,53.9,Semester 2,Machine Learning,Stable
KGL1630,Engineering,2.68,67,70,71.3,64.3,Semester 1,Database Systems,Under Review
KGL1631,Engineering,2.72,79,65,68.6,55.2,Semester 2,Machine Learning,Stable
KGL1632,Engineering,2.95,66,81,77.9,68.9,Semester 1,Database Systems,Stable
KGL1633,Engineering,3.31,75,85,87.8,87.6,Semester 2,Machine Learning,Scholarship
KGL1634,Engineering,3.31,84,80,81.1,79.4,Semester 1,Introduction to Programming,Scholarship
KGL1635,Engineering,2.79,71,64,66.6,73.3,Semester 2,Data Structures,Stable
KGL1636,Engineering,3.04,67,81,68.2,88.0,Semester 1,Mathematics & Statistics,Scholarship
KGL1637,Engineering,3.47,80,88,87.5,85.6,Semester 2,Web Development,Stable
KGL1638,Engineering,3.15,86,74,84.7,76.4,Semester 1,Introduction to Programming,Stable
KGL1639,Engineering,2.97,76,73,68.4,70.1,Semester 2,Web Development,Stable
KGL1640,Engineering,1.92,41,51,51.1,44.3,Semester 1,Introduction to Programming,Stable
KGL1641,Engineering,3.36,74,90,85.9,94.6,Semester 2,Machine Learning,Stable
KGL1642,Engineering,3.09,72,79,77.4,88.5,Semester 1,Database Systems,Stable
KGL1643,Engineering,3.11,74,80,69.9,72.8,Semester 2,Data Structures,Scholarship
KGL1644,Engineering,2.6,70,60,58.8,61.2,Semester 1,Introduction to Programming,Scholarship
KGL1645,Engineering,3.03,65,81,75.4,83.1,Semester 2,Data Structures,Stable
KGL1646,Engineering,2.59,59,65,67.8,65.7,Semester 1,Mathematics & Statistics,Stable
KGL1647,Engineering,2.59,64,68,69.1,62.4,Semester 2,Data Structures,Stable
KGL1648,Engineering,2.11,50,55,52.4,49.1,Semester 1,Mathematics & Statistics,Scholarship
KGL1649,Engineering,3.05,69,81,87.2,86.4,Semester 2,Data Structures,Stable
KGL1650,Engineering,2.13,51,53,64.3,54.5,Semester 1,Database Systems,Stable
KGL1651,Engineering,2.99,68,76,76.2,72.6,Semester 2,Web Development,Scholarship
KGL1652,Engineering,3.59,85,98,100.0,90.4,Semester 1,Introduction to Programming,Stable
KGL1653,Engineering,2.79,65,74,66.3,72.8,Semester 2,Data Structures,Stable
KGL1654,Engineering,3.08,73,79,70.0,79.2,Semester 1,Introduction to Programming,Stable
KGL1655,Engineering,2.61,62,67,62.1,66.5,Semester 2,Web Development,Stable
KGL1656,Engineering,2.77,77,64,73.6,66.6,Semester 1,Mathematics & Statistics,Scholarship
KGL1657,Engineering,2.61,69,61,72.7,70.6,Semester 2,Data Structures,Stable
KGL1658,Engineering,2.15,43,58,52.7,62.6,Semester 1,Introduction to Programming,Scholarship
KGL1659,Engineering,3.49,90,85,91.5,90.0,Semester 2,Machine Learning,Stable
KGL1660,Engineering,2.99,74,73,76.7,73.1,Semester 1,Introduction to Programming,Stable
KGL1661,Engineering,2.69,73,63,68.0,64.0,Semester 2,Machine Learning,Stable
KGL1662,Engineering,2.6,55,69,67.1,67.4,Semester 1,Database Systems,Scholarship
KGL1663,Engineering,2.68,65,67,66.3,66.5,Semester 2,Machine Learning,Stable
KGL1664,Engineering,2.75,80,63,72.3,69.8,Semester 1,Introduction to Programming,Stable
KGL1665,Engineering,2.27,50,60,58.8,62.9,Semester 2,Machine Learning,Scholarship
KGL1666,Engineering,2.76,63,71,73.8,70.3,Semester 1,Database Systems,Stable
KGL1667,Engineering,3.32,77,87,83.5,89.3,Semester 2,Data Structures,Under Review
KGL1668,Engineering,2.77,73,61,69.4,79.5,Semester 1,Mathematics & Statistics,Stable
KGL1669,Engineering,3.07,81,77,79.6,63.7,Semester 2,Web Development,Stable
KGL1670,Engineering,2.8,66,68,66.8,79.4,Semester 1,Mathematics & Statistics,Scholarship
KGL1671,Engineering,2.12,52,50,59.7,57.5,Semester 2,Machine Learning,Scholarship
KGL1672,Engineering,2.97,69,76,73.5,79.7,Semester 1,Mathematics & Statistics,Stable
KGL1673,Engineering,3.11,65,84,67.8,85.1,Semester 2,Machine Learning,Stable
KGL1674,Engineering,2.99,69,78,68.4,86.8,Semester 1,Mathematics & Statistics,Stable
KGL1675,Engineering,2.4,50,66,57.2,65.6,Semester 2,Data Structures,Scholarship
KGL1676,Engineering,3.03,73,76,77.8,77.6,Semester 1,Introduction to Programming,Stable
KGL1677,Engineering,3.04,70,76,76.0,76.1,Semester 2,Machine Learning,Stable
KGL1678,Engineering,3.12,81,78,78.2,90.3,Semester 1,Database Systems,Scholarship
KGL1679,Engineering,2.45,63,60,61.8,51.8,Semester 2,Web Development,Stable
KGL1680,Engineering,2.84,67,74,59.2,72.3,Semester 1,Database Systems,Stable
KGL1681,Engineering,2.51,60,60,57.6,68.7,Semester 2,Machine Learning,Scholarship
KGL1682,Engineering,2.28,62,54,50.4,58.8,Semester 1,Database Systems,Stable
KGL1683,Engineering,1.51,29,44,41.9,37.6,Semester 2,Web Development,Stable
KGL1684,Engineering,2.61,62,68,68.9,68.2,Semester 1,Database Systems,Stable
KGL1685,Engineering,3.91,94,100,94.5,98.1,Semester 2,Data Structures,Stable
KGL1686,Engineering,3.04,85,68,69.8,71.1,Semester 1,Introduction to Programming,Stable
KGL1687,Engineering,3.04,77,73,79.0,71.0,Semester 2,Machine Learning,Stable
KGL1688,Engineering,2.07,53,44,51.5,56.6,Semester 1,Mathematics & Statistics,Stable
KGL1689,Engineering,3.55,93,83,86.8,81.9,Semester 2,Machine Learning,Stable
KGL1690,Engineering,2.07,49,53,59.2,47.3,Semester 1,Introduction to Programming,Stable
KGL1691,Engineering,3.03,73,78,81.0,76.1,Semester 2,Machine Learning,Stable
KGL1692,Engineering,2.95,66,81,75.6,66.4,Semester 1,Introduction to Programming,Stable
KGL1693,Engineering,3.03,77,73,73.8,74.9,Semester 2,Machine Learning,Stable
KGL1694,Engineering,2.24,49,56,56.0,64.5,Semester 1,Database Systems,Stable
KGL1695,Engineering,3.39,79,86,80.4,80.4,Semester 2,Machine Learning,Scholarship
KGL1696,Engineering,3.29,75,90,74.7,85.4,Semester 1,Introduction to Programming,Stable
KGL1697,Engineering,2.68,59,70,61.2,78.4,Semester 2,Machine Learning,Stable
KGL1698,Engineering,2.85,57,79,65.3,83.0,Semester 1,Mathematics & Statistics,Stable
KGL1699,Engineering,2.55,66,59,62.8,70.1,Semester 2,Machine Learning,Stable
KGL1700,Engineering,3.23,79,82,82.7,85.7,Semester 1,Mathematics & Statistics,Scholarship
KGL1701,Engineering,2.61,57,72,66.2,67.7,Semester 2,Data Structures,Stable
KGL1702,Engineering,3.44,87,87,79.1,77.4,Semester 1,Database Systems,Stable
KGL1703,Engineering,2.59,63,67,61.9,61.3,Semester 2,Data Structures,Stable
KGL1704,Engineering,2.48,59,64,64.6,69.6,Semester 1,Mathematics & Statistics,Stable
KGL1705,Engineering,2.65,62,65,68.4,75.3,Semester 2,Machine Learning,Stable
KGL1706,Engineering,1.55,46,36,42.4,30.3,Semester 1,Database Systems,Stable
KGL1707,Engineering,2.36,66,52,55.2,55.9,Semester 2,Web Development,Stable
KGL1708,Engineering,3.4,89,79,88.7,89.7,Semester 1,Database Systems,Stable
KGL1709,Engineering,2.15,42,58,56.9,63.3,Semester 2,Data Structures,Stable
KGL1710,Engineering,3.56,93,90,90.9,80.7,Semester 1,Database Systems,Stable
KGL1711,Engineering,3.33,80,85,91.7,86.9,Semester 2,Web Development,Stable
KGL1712,Engineering,3.96,98,99,100.0,100.0,Semester 1,Database Systems,Stable
KGL1713,Engineering,3.28,81,84,83.6,89.9,Semester 2,Data Structures,Under Review
KGL1714,Engineering,2.72,60,74,65.9,61.0,Semester 1,Introduction to Programming,Stable
KGL1715,Engineering,3.43,76,87,87.5,93.7,Semester 2,Data Structures,Stable
KGL1716,Engineering,2.97,73,72,77.7,86.8,Semester 1,Database Systems,Scholarship
KGL1717,Engineering,3.88,96,99,87.4,92.9,Semester 2,Data Structures,Stable
KGL1718,Engineering,3.01,76,74,77.6,81.6,Semester 1,Database Systems,Scholarship
KGL1719,Engineering,3.25,91,80,81.7,70.6,Semester 2,Web Development,Under Review
KGL1720,Engineering,2.72,62,70,68.7,72.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1721,Engineering,2.31,55,59,44.0,66.6,Semester 2,Data Structures,Stable
KGL1722,Engineering,3.36,74,88,76.5,94.0,Semester 1,Introduction to Programming,Stable
KGL1723,Engineering,1.87,50,42,47.9,42.0,Semester 2,Web Development,Scholarship
KGL1724,Engineering,1.75,47,41,40.0,40.8,Semester 1,Mathematics & Statistics,Scholarship
KGL1725,Engineering,3.01,81,71,68.7,76.4,Semester 2,Data Structures,Stable
KGL1726,Engineering,2.89,65,77,80.5,75.9,Semester 1,Introduction to Programming,Stable
KGL1727,Engineering,2.35,68,57,59.3,62.8,Semester 2,Machine Learning,Stable
KGL1728,Engineering,3.32,73,84,81.2,89.6,Semester 1,Introduction to Programming,Stable
KGL1729,Business,1.72,53,37,40.0,37.1,Semester 2,Machine Learning,Stable
KGL1730,Business,3.0,68,80,67.0,80.6,Semester 1,Introduction to Programming,Stable
KGL1731,Business,1.92,55,43,49.4,47.5,Semester 2,Data Structures,Under Review
KGL1732,Business,3.6,87,94,83.3,95.6,Semester 1,Introduction to Programming,Stable
KGL1733,Business,1.95,55,44,45.8,39.4,Semester 2,Machine Learning,Under Review
KGL1734,Business,2.24,53,57,55.0,62.1,Semester 1,Introduction to Programming,Stable
KGL1735,Business,2.44,67,59,60.4,58.2,Semester 2,Web Development,Stable
KGL1736,Business,3.4,92,84,77.1,79.4,Semester 1,Introduction to Programming,Under Review
KGL1737,Business,2.56,53,73,63.4,61.2,Semester 2,Data Structures,Under Review
KGL1738,Business,3.0,81,73,70.1,72.2,Semester 1,Introduction to Programming,Stable
KGL1739,Business,2.35,61,55,54.0,54.6,Semester 2,Data Structures,Stable
KGL1740,Business,3.0,80,72,72.7,68.7,Semester 1,Database Systems,Stable
KGL1741,Business,2.0,37,56,53.4,65.3,Semester 2,Machine Learning,Stable
KGL1742,Business,3.29,81,82,90.1,79.4,Semester 1,Mathematics & Statistics,Under Review
KGL1743,Business,2.72,59,72,64.7,73.4,Semester 2,Data Structures,Scholarship
KGL1744,Business,2.09,55,47,51.9,59.1,Semester 1,Introduction to Programming,Stable
KGL1745,Business,3.0,72,74,73.7,85.2,Semester 2,Machine Learning,Under Review
KGL1746,Business,2.87,69,71,72.7,74.7,Semester 1,Mathematics & Statistics,Scholarship
KGL1747,Business,2.68,69,68,59.0,69.5,Semester 2,Data Structures,Stable
KGL1748,Business,2.25,50,59,60.8,59.8,Semester 1,Mathematics & Statistics,Stable
KGL1749,Business,3.43,87,86,78.1,85.6,Semester 2,Machine Learning,Stable
KGL1750,Business,2.77,71,68,62.7,67.6,Semester 1,Database Systems,Stable
KGL1751,Business,2.73,68,65,66.5,78.7,Semester 2,Data Structures,Under Review
KGL1752,Business,3.08,79,75,76.7,77.9,Semester 1,Mathematics & Statistics,Stable
KGL1753,Business,3.36,77,85,83.3,94.0,Semester 2,Data Structures,Stable
KGL1754,Business,2.21,58,53,54.7,47.1,Semester 1,Database Systems,Stable
KGL1755,Business,3.61,84,92,84.4,90.3,Semester 2,Data Structures,Scholarship
KGL1756,Business,2.2,55,52,50.3,61.1,Semester 1,Introduction to Programming,Scholarship
KGL1757,Business,2.8,70,72,67.7,69.2,Semester 2,Machine Learning,Scholarship
KGL1758,Business,2.35,52,65,59.4,68.3,Semester 1,Mathematics & Statistics,Stable
KGL1759,Business,2.97,69,77,76.3,68.4,Semester 2,Data Structures,Stable
KGL1760,Business,2.52,53,64,57.9,66.3,Semester 1,Database Systems,Stable
KGL1761,Business,2.13,48,54,58.3,62.2,Semester 2,Web Development,Stable
KGL1762,Business,3.27,78,86,79.0,72.0,Semester 1,Introduction to Programming,Scholarship
KGL1763,Business,2.49,62,63,64.9,59.4,Semester 2,Data Structures,Stable
KGL1764,Business,2.43,60,59,63.0,59.2,Semester 1,Introduction to Programming,Scholarship
KGL1765,Business,2.91,74,72,70.5,72.1,Semester 2,Data Structures,Under Review
KGL1766,Business,2.8,58,77,75.0,68.8,Semester 1,Mathematics & Statistics,Stable
KGL1767,Business,2.64,76,60,69.0,67.7,Semester 2,Web Development,Scholarship
KGL1768,Business,2.85,68,75,70.7,69.3,Semester 1,Introduction to Programming,Under Review
KGL1769,Business,2.33,58,57,56.3,57.6,Semester 2,Machine Learning,Stable
KGL1770,Business,1.99,52,49,47.4,37.0,Semester 1,Mathematics & Statistics,Stable
KGL1771,Business,2.96,75,74,71.2,73.9,Semester 2,Web Development,Stable
KGL1772,Business,2.55,52,72,58.7,71.2,Semester 1,Mathematics & Statistics,Scholarship
KGL1773,Business,2.92,62,79,64.7,75.8,Semester 2,Data Structures,Scholarship
KGL1774,Business,2.55,66,60,66.0,71.8,Semester 1,Database Systems,Under Review
KGL1775,Business,2.16,49,55,53.4,64.3,Semester 2,Web Development,Stable
KGL1776,Business,2.77,66,70,65.5,71.0,Semester 1,Mathematics & Statistics,Stable
KGL1777,Business,1.63,35,43,43.8,50.6,Semester 2,Data Structures,Stable
KGL1778,Business,3.11,72,82,81.6,82.4,Semester 1,Introduction to Programming,Under Review
KGL1779,Business,3.48,94,82,93.0,85.4,Semester 2,Machine Learning,Stable
KGL1780,Business,2.12,46,57,46.0,54.1,Semester 1,Database Systems,Stable
KGL1781,Business,3.35,77,84,90.8,88.7,Semester 2,Web Development,Under Review
KGL1782,Business,3.24,76,82,74.2,96.9,Semester 1,Mathematics & Statistics,Stable
KGL1783,Business,2.31,52,62,53.5,61.8,Semester 2,Machine Learning,Stable
KGL1784,Business,3.35,91,79,83.9,79.4,Semester 1,Introduction to Programming,Stable
KGL1785,Business,1.69,32,44,40.0,43.4,Semester 2,Data Structures,Stable
KGL1786,Business,3.04,72,77,75.9,82.6,Semester 1,Mathematics & Statistics,Stable
KGL1787,Business,1.19,19,32,40.0,36.3,Semester 2,Data Structures,Scholarship
KGL1788,Business,2.59,68,61,64.9,64.6,Semester 1,Mathematics & Statistics,Scholarship
KGL1789,Business,2.37,52,61,62.0,64.4,Semester 2,Data Structures,Under Review
KGL1790,Business,2.27,48,60,56.5,64.2,Semester 1,Mathematics & Statistics,Stable
KGL1791,Business,2.61,60,70,62.7,63.8,Semester 2,Data Structures,Stable
KGL1792,Business,2.79,66,69,71.3,75.4,Semester 1,Mathematics & Statistics,Stable
KGL1793,Business,3.33,89,77,83.9,83.8,Semester 2,Data Structures,Scholarship
KGL1794,Business,1.93,42,51,49.6,52.9,Semester 1,Mathematics & Statistics,Stable
KGL1795,Business,2.64,57,73,72.9,65.5,Semester 2,Machine Learning,Stable
KGL1796,Business,2.8,70,70,67.0,73.4,Semester 1,Mathematics & Statistics,Stable
KGL1797,Business,3.13,70,81,82.9,83.3,Semester 2,Web Development,Under Review
KGL1798,Business,2.44,69,54,59.0,55.3,Semester 1,Database Systems,Stable
KGL1799,Business,2.19,52,57,61.2,59.1,Semester 2,Data Structures,Under Review
KGL1800,Business,2.77,67,68,71.4,74.3,Semester 1,Introduction to Programming,Stable
KGL1801,Business,3.05,76,73,81.8,72.6,Semester 2,Web Development,Scholarship
KGL1802,Business,3.68,87,95,85.4,88.9,Semester 1,Database Systems,Scholarship
KGL1803,Business,3.39,82,87,83.9,90.7,Semester 2,Web Development,Stable
KGL1804,Business,3.03,73,78,81.0,69.3,Semester 1,Mathematics & Statistics,Stable
KGL1805,Business,3.07,75,74,77.3,73.2,Semester 2,Data Structures,Stable
KGL1806,Business,2.84,64,75,75.7,78.9,Semester 1,Database Systems,Scholarship
KGL1807,Business,1.68,41,40,44.2,49.3,Semester 2,Machine Learning,Scholarship
KGL1808,Business,3.12,90,69,82.1,77.3,Semester 1,Database Systems,Stable
KGL1809,Business,2.19,59,51,56.3,53.4,Semester 2,Web Development,Under Review
KGL1810,Business,1.57,51,36,40.0,35.9,Semester 1,Mathematics & Statistics,Stable
KGL1811,Business,1.88,45,49,41.9,46.1,Semester 2,Web Development,Stable
KGL1812,Business,2.47,54,67,51.8,55.7,Semester 1,Mathematics & Statistics,Stable
KGL1813,Business,3.29,87,76,79.4,74.0,Semester 2,Web Development,Under Review
KGL1814,Business,3.13,72,83,78.1,78.7,Semester 1,Mathematics & Statistics,Scholarship
KGL1815,Business,3.56,94,87,85.2,81.0,Semester 2,Web Development,Scholarship
KGL1816,Business,2.24,45,64,55.1,57.3,Semester 1,Introduction to Programming,Stable
KGL1817,Business,2.76,61,76,80.8,70.2,Semester 2,Data Structures,Scholarship
KGL1818,Business,2.67,60,68,70.4,63.7,Semester 1,Mathematics & Statistics,Stable
KGL1819,Business,3.41,77,88,87.1,90.3,Semester 2,Data Structures,Scholarship
KGL1820,Business,3.56,85,92,93.7,78.4,Semester 1,Introduction to Programming,Stable
KGL1821,Business,3.48,78,93,94.0,85.6,Semester 2,Data Structures,Stable
KGL1822,Business,2.03,49,51,46.2,51.9,Semester 1,Introduction to Programming,Stable
KGL1823,Business,3.2,71,82,83.3,78.5,Semester 2,Machine Learning,Stable
KGL1824,Business,2.11,48,52,52.8,63.2,Semester 1,Mathematics & Statistics,Stable
KGL1825,Business,2.49,62,58,49.3,64.7,Semester 2,Data Structures,Scholarship
KGL1826,Business,2.59,56,70,63.9,70.2,Semester 1,Mathematics & Statistics,Stable
KGL1827,Business,2.8,65,76,70.4,74.5,Semester 2,Web Development,Stable
KGL1828,Business,3.15,69,81,78.8,86.4,Semester 1,Introduction to Programming,Stable
KGL1829,Business,2.33,68,53,62.5,53.1,Semester 2,Machine Learning,Stable
KGL1830,Business,2.37,61,57,61.6,60.1,Semester 1,Mathematics & Statistics,Scholarship
KGL1831,Business,3.32,74,89,81.5,86.7,Semester 2,Data Structures,Stable
KGL1832,Business,2.43,64,58,53.3,54.1,Semester 1,Introduction to Programming,Stable
KGL1833,Business,3.31,77,89,78.9,77.8,Semester 2,Web Development,Stable
KGL1834,Business,2.04,58,45,54.7,46.7,Semester 1,Introduction to Programming,Stable
KGL1835,Business,2.64,60,74,67.3,75.8,Semester 2,Machine Learning,Stable
KGL1836,Business,2.59,73,57,59.7,68.9,Semester 1,Introduction to Programming,Under Review
KGL1837,Business,3.15,75,79,78.9,84.0,Semester 2,Machine Learning,Stable
KGL1838,Business,2.24,58,53,59.4,55.9,Semester 1,Mathematics & Statistics,Scholarship
KGL1839,Business,2.88,66,73,67.6,82.3,Semester 2,Machine Learning,Stable
KGL1840,Business,1.83,39,46,44.5,49.8,Semester 1,Introduction to Programming,Stable
KGL1841,Business,2.31,64,51,50.6,60.3,Semester 2,Web Development,Stable
KGL1842,Business,1.37,23,36,40.0,46.9,Semester 1,Introduction to Programming,Stable
KGL1843,Business,3.03,74,76,78.2,75.2,Semester 2,Data Structures,Scholarship
KGL1844,Business,2.25,40,64,60.0,70.1,Semester 1,Mathematics & Statistics,Scholarship
KGL1845,Business,3.45,90,84,88.1,89.4,Semester 2,Machine Learning,Stable
KGL1846,Business,3.48,91,85,82.2,82.9,Semester 1,Database Systems,Stable
KGL1847,Business,2.24,64,50,60.3,47.9,Semester 2,Data Structures,Stable
KGL1848,Business,2.65,59,68,65.5,71.3,Semester 1,Database Systems,Under Review
KGL1849,Business,2.99,80,69,69.9,74.5,Semester 2,Web Development,Stable
KGL1850,Business,2.73,71,67,64.0,62.8,Semester 1,Introduction to Programming,Stable
KGL1851,Business,2.56,61,63,58.6,70.8,Semester 2,Web Development,Stable
KGL1852,Business,3.53,87,93,83.3,87.7,Semester 1,Mathematics & Statistics,Stable
KGL1853,Business,2.8,82,61,70.9,68.6,Semester 2,Web Development,Scholarship
KGL1854,Business,2.41,62,55,63.8,65.9,Semester 1,Introduction to Programming,Stable
KGL1855,Business,3.87,97,96,96.1,92.6,Semester 2,Web Development,Stable
KGL1856,Business,2.77,75,65,67.0,69.9,Semester 1,Mathematics & Statistics,Stable
KGL1857,Business,3.0,65,81,71.6,83.1,Semester 2,Data Structures,Under Review
KGL1858,Business,1.96,52,46,41.9,51.4,Semester 1,Mathematics & Statistics,Stable
KGL1859,Business,3.09,87,72,80.9,77.5,Semester 2,Data Structures,Stable
KGL1860,Business,2.24,53,53,55.6,67.1,Semester 1,Introduction to Programming,Under Review
KGL1861,Business,3.39,81,87,80.7,79.0,Semester 2,Data Structures,Stable
KGL1862,Business,1.59,39,38,40.0,41.2,Semester 1,Database Systems,Stable
KGL1863,Business,2.96,71,80,73.9,72.2,Semester 2,Web Development,Under Review
KGL1864,Business,3.75,97,91,94.2,96.7,Semester 1,Introduction to Programming,Stable
KGL1865,Sciences,3.36,82,88,86.6,85.7,Semester 2,Machine Learning,Stable
KGL1866,Sciences,2.19,59,52,56.5,46.4,Semester 1,Introduction to Programming,Stable
KGL1867,Sciences,1.92,61,41,60.0,37.0,Semester 2,Machine Learning,Stable
KGL1868,Sciences,2.99,78,72,67.7,70.9,Semester 1,Mathematics & Statistics,Under Review
KGL1869,Sciences,2.01,49,51,46.0,50.3,Semester 2,Web Development,Stable
KGL1870,Sciences,2.19,59,47,52.1,61.4,Semester 1,Introduction to Programming,Stable
KGL1871,Sciences,2.91,70,76,78.1,64.4,Semester 2,Web Development,Scholarship
KGL1872,Sciences,3.25,82,78,86.3,81.2,Semester 1,Mathematics & Statistics,Stable
KGL1873,Sciences,3.49,90,82,84.7,87.0,Semester 2,Data Structures,Scholarship
KGL1874,Sciences,2.21,43,61,48.1,61.4,Semester 1,Mathematics & Statistics,Stable
KGL1875,Sciences,2.8,80,66,71.5,66.6,Semester 2,Machine Learning,Scholarship
KGL1876,Sciences,3.29,81,84,82.7,90.2,Semester 1,Introduction to Programming,Scholarship
KGL1877,Sciences,2.29,57,54,60.4,55.4,Semester 2,Web Development,Stable
KGL1878,Sciences,2.81,59,80,62.9,67.6,Semester 1,Mathematics & Statistics,Stable
KGL1879,Sciences,2.85,64,74,71.3,78.0,Semester 2,Machine Learning,Stable
KGL1880,Sciences,2.57,63,66,65.7,59.6,Semester 1,Database Systems,Scholarship
KGL1881,Sciences,2.81,71,70,72.3,66.8,Semester 2,Machine Learning,Stable
KGL1882,Sciences,2.77,64,71,67.0,73.2,Semester 1,Mathematics & Statistics,Stable
KGL1883,Sciences,1.93,55,44,40.6,50.6,Semester 2,Web Development,Stable
KGL1884,Sciences,2.08,51,54,55.7,55.9,Semester 1,Database Systems,Stable
KGL1885,Sciences,2.91,62,80,81.3,77.7,Semester 2,Web Development,Scholarship
KGL1886,Sciences,3.84,93,95,99.8,100.0,Semester 1,Introduction to Programming,Stable
KGL1887,Sciences,2.47,54,59,61.9,76.3,Semester 2,Data Structures,Under Review
KGL1888,Sciences,2.77,69,74,74.6,74.6,Semester 1,Database Systems,Stable
KGL1889,Sciences,1.91,44,48,46.5,54.4,Semester 2,Machine Learning,Stable
KGL1890,Sciences,3.49,86,91,86.1,82.1,Semester 1,Mathematics & Statistics,Stable
KGL1891,Sciences,3.49,85,85,83.6,95.4,Semester 2,Machine Learning,Stable
KGL1892,Sciences,2.53,50,73,51.3,66.0,Semester 1,Database Systems,Stable
KGL1893,Sciences,3.16,88,75,76.4,81.8,Semester 2,Machine Learning,Scholarship
KGL1894,Sciences,2.53,59,69,56.0,57.9,Semester 1,Mathematics & Statistics,Scholarship
KGL1895,Sciences,1.39,32,38,40.0,30.0,Semester 2,Web Development,Stable
KGL1896,Sciences,1.23,36,27,40.0,36.7,Semester 1,Mathematics & Statistics,Stable
KGL1897,Sciences,2.93,63,79,72.3,78.6,Semester 2,Web Development,Stable
KGL1898,Sciences,2.45,67,63,57.7,50.6,Semester 1,Mathematics & Statistics,Stable
KGL1899,Sciences,3.0,65,82,85.5,79.2,Semester 2,Data Structures,Under Review
KGL1900,Sciences,3.44,85,89,83.8,78.6,Semester 1,Database Systems,Stable
KGL1901,Sciences,3.0,73,74,63.9,80.0,Semester 2,Data Structures,Stable
KGL1902,Sciences,1.64,34,41,46.7,46.9,Semester 1,Introduction to Programming,Scholarship
KGL1903,Sciences,3.91,93,100,100.0,96.9,Semester 2,Machine Learning,Scholarship
KGL1904,Sciences,3.13,67,84,75.7,85.6,Semester 1,Database Systems,Stable
KGL1905,Sciences,3.23,88,77,87.1,76.1,Semester 2,Web Development,Scholarship
KGL1906,Sciences,2.08,57,51,48.9,51.8,Semester 1,Mathematics & Statistics,Stable
KGL1907,Sciences,3.39,79,91,90.9,87.1,Semester 2,Web Development,Stable
KGL1908,Sciences,2.85,67,72,65.0,78.5,Semester 1,Database Systems,Scholarship
KGL1909,Sciences,2.72,70,70,69.4,56.3,Semester 2,Data Structures,Scholarship
KGL1910,Sciences,1.87,50,48,50.7,50.2,Semester 1,Database Systems,Under Review
KGL1911,Sciences,3.13,69,82,72.0,74.1,Semester 2,Data Structures,Stable
KGL1912,Sciences,2.39,52,66,66.0,61.3,Semester 1,Mathematics & Statistics,Stable
KGL1913,Sciences,2.33,47,66,65.9,63.5,Semester 2,Data Structures,Stable
KGL1914,Sciences,2.16,46,55,50.7,52.6,Semester 1,Introduction to Programming,Stable
KGL1915,Sciences,2.72,68,66,77.7,70.7,Semester 2,Data Structures,Scholarship
KGL1916,Sciences,4.0,100,100,95.8,100.0,Semester 1,Mathematics & Statistics,Stable
KGL1917,Sciences,2.09,44,52,47.9,61.4,Semester 2,Data Structures,Scholarship
KGL1918,Sciences,2.85,57,80,79.7,80.4,Semester 1,Mathematics & Statistics,Stable
KGL1919,Sciences,3.71,91,91,90.1,91.0,Semester 2,Data Structures,Stable
KGL1920,Sciences,2.75,69,67,64.6,79.4,Semester 1,Introduction to Programming,Scholarship
KGL1921,Sciences,1.79,35,46,40.0,57.2,Semester 2,Machine Learning,Stable
KGL1922,Sciences,2.72,72,66,68.1,69.8,Semester 1,Mathematics & Statistics,Under Review
KGL1923,Sciences,2.45,54,65,65.4,66.6,Semester 2,Machine Learning,Stable
KGL1924,Sciences,2.84,74,69,75.1,76.7,Semester 1,Introduction to Programming,Stable
KGL1925,Sciences,2.64,74,60,65.3,65.8,Semester 2,Web Development,Stable
KGL1926,Sciences,2.29,64,52,56.0,56.7,Semester 1,Mathematics & Statistics,Stable
KGL1927,Sciences,2.63,65,71,62.3,67.2,Semester 2,Web Development,Stable
KGL1928,Sciences,1.77,46,44,46.4,43.6,Semester 1,Introduction to Programming,Stable
KGL1929,Sciences,2.07,48,51,55.2,54.2,Semester 2,Data Structures,Stable
KGL1930,Sciences,2.81,67,70,73.4,73.9,Semester 1,Introduction to Programming,Stable
KGL1931,Sciences,2.41,62,62,62.0,60.9,Semester 2,Machine Learning,Stable
KGL1932,Sciences,2.73,61,73,68.0,68.8,Semester 1,Database Systems,Scholarship
KGL1933,Sciences,2.92,70,74,71.1,70.8,Semester 2,Machine Learning,Scholarship
KGL1934,Sciences,3.67,98,90,91.9,90.1,Semester 1,Introduction to Programming,Scholarship
